signal_date,strategy,ticker,cmp,entry_min,entry_max,target,stop_loss,volume_ratio,rsi,fill_price,exit_date,exit_reason,pnl_pct,holding_days
2025-11-18,vcp,INDIGRID,163.89,165.86,169.18,179.13,160.61,2.05,52.8,,,not_filled,,
2025-11-19,vcp,INDIGRID,163.85,165.86,169.18,179.13,160.61,2.8,52.74,,,not_filled,,
2025-11-20,vcp,INDIGRID,162.99,165.86,169.18,179.13,158.65,1.39,51.46,,,not_filled,,
2025-12-12,vcp,AXISBANK,1286.1,1304.0,1330.08,1408.32,1255.0,0.47,61.18,,,not_filled,,
2025-12-15,vcp,AXISBANK,1284.8,1304.0,1330.08,1408.32,1255.0,0.34,60.46,,,not_filled,,
2025-12-18,vcp,GLENMARK,1957.1,1992.9,2032.76,2152.33,1892.7,0.48,55.36,1992.9,2026-01-02,timeout,3.5928,15
2025-12-19,vcp,GLENMARK,1992.1,1996.2,2036.12,2155.9,1892.7,0.75,61.28,1997.9,2026-01-05,timeout,2.0672,17
2025-12-22,vcp,GLENMARK,2038.2,2042.7,2083.55,2206.12,1899.71,1.04,67.4,2042.7,2026-01-06,timeout,1.5617,15
2025-12-23,vcp,MPHASIS,2938.4,2968.9,3028.28,3206.41,2817.0,0.97,62.13,,,not_filled,,
2025-12-23,vcp,VSTTILLERS,6038.5,6149.0,6271.98,6640.92,5718.57,1.06,65.64,,,not_filled,,
2025-12-29,vcp,VSTTILLERS,6038.0,6150.0,6273.0,6642.0,5719.5,1.43,62.62,6150.0,2026-01-09,stop_loss,-7.0,11
2026-01-02,vcp,AVANTIFEED,880.25,887.2,904.94,958.18,825.1,1.2,65.38,,,not_filled,,
2026-02-20,vcp,KARURVYSYA,322.6,329.0,335.58,355.32,312.2,0.32,66.05,,,not_filled,,
2026-02-20,vcp,SAMMAANCAP,154.04,154.9,158.0,167.29,144.06,1.54,62.22,154.9,2026-03-02,stop_loss,-6.9981,10
2026-02-23,vcp,KARURVYSYA,325.55,329.0,335.58,355.32,312.2,0.25,67.63,329.0,2026-03-02,stop_loss,-5.1064,7
2026-02-23,vcp,SAMMAANCAP,154.63,155.05,158.15,167.45,144.2,0.76,62.99,155.06,2026-03-02,stop_loss,-7.0037,7
2026-03-11,vcp,VTL,546.0,552.0,563.04,596.16,513.36,0.3,66.03,,,not_filled,,
2026-03-12,vcp,VTL,541.35,552.0,563.04,596.16,513.36,0.19,62.96,,,not_filled,,
2026-04-08,vcp,ROSSTECH,798.2,808.7,824.87,873.4,752.09,1.68,64.98,,,not_filled,,
2026-04-09,vcp,ROSSTECH,798.25,808.7,824.87,873.4,752.09,1.09,64.98,808.7,2026-04-13,target_hit,8.0005,4
2026-04-10,vcp,ARVIND,390.05,395.65,403.56,427.3,367.95,0.54,65.05,,,not_filled,,
2026-05-06,vcp,CUMMINSIND,5324.5,5355.5,5462.61,5783.94,5079.4,0.54,66.2,5355.5,2026-05-15,eod_sample,0.6815,9
2026-05-07,vcp,CUMMINSIND,5403.0,5424.0,5532.48,5857.92,5102.1,0.8,69.13,5424.0,2026-05-15,eod_sample,-0.59,8
2026-05-08,vcp,CUMMINSIND,5401.0,5470.5,5579.91,5908.14,5102.1,0.85,68.97,,,not_filled,,
2026-05-13,vcp,SHAILY,2744.0,2780.0,2835.6,3002.4,2585.4,0.24,66.04,2780.0,2026-05-15,eod_sample,-0.4209,2
2026-05-14,vcp,CUMMINSIND,5367.0,5470.5,5579.91,5908.14,5120.0,0.64,61.83,,,not_filled,,
2026-05-14,vcp,SHAILY,2793.5,2836.9,2893.64,3063.85,2638.32,0.36,67.44,,,not_filled,,
