signal_date,strategy,ticker,cmp,entry_min,entry_max,target,stop_loss,volume_ratio,rsi,fill_price,exit_date,exit_reason,pnl_pct,holding_days
2025-11-18,ema_pullback,ADANIGREEN,1077.6,1077.5999755859375,1078.16,1120.7,1046.14,0.3,53.41,,,stale_entry,,
2025-11-18,ema_pullback,ADOR,1100.2,1100.199951171875,1081.32,1144.21,1067.19,1.24,56.27,,,stale_entry,,
2025-11-18,ema_pullback,AGROPHOS,42.28,42.27999877929688,42.47,43.97,41.2,0.43,51.78,42.28,2025-11-20,stop_loss,-2.5544,2
2025-11-18,ema_pullback,ALICON,900.55,900.5499877929688,906.65,936.57,879.72,0.07,51.4,900.55,2025-11-20,stop_loss,-2.313,2
2025-11-18,ema_pullback,APOLLOTYRE,519.18,519.1834106445312,514.24,539.95,503.61,1.01,57.6,,,stale_entry,,
2025-11-18,ema_pullback,BAJAJ-AUTO,8921.0,8921.0,8988.6,9277.84,8721.61,0.75,51.2,8950.0,2025-12-03,timeout,0.5642,15
2025-11-18,ema_pullback,BALAJITELE,123.42,123.41999816894533,120.75,128.36,119.72,3.23,54.77,,,stale_entry,,
2025-11-18,ema_pullback,BEL,419.12,419.1157531738281,420.37,435.88,407.89,0.82,53.98,419.1158,2025-11-24,stop_loss,-2.6784,6
2025-11-18,ema_pullback,CENTRALBK,38.71,38.710750579833984,38.66,40.26,37.55,1.04,53.97,,,stale_entry,,
2025-11-18,ema_pullback,CESC,174.89,174.88999938964844,175.48,181.89,170.27,0.35,54.7,,,not_filled,,
2025-11-18,ema_pullback,COALINDIA,378.94,378.9405822753906,380.03,394.1,368.75,0.62,54.79,,,not_filled,,
2025-11-18,ema_pullback,COFORGE,1780.05,1780.046875,1789.08,1851.25,1735.94,0.5,53.45,1780.0469,2025-11-20,target_hit,4.0001,2
2025-11-18,ema_pullback,CSBBANK,422.5,422.5,421.67,439.4,409.82,0.52,56.98,,,stale_entry,,
2025-11-18,ema_pullback,CYBERMEDIA,18.15,18.14999961853028,17.75,18.88,17.61,2.85,56.94,,,stale_entry,,
2025-11-18,ema_pullback,DOMS,2553.8,2553.800048828125,2570.5,2655.95,2494.15,1.51,51.35,2557.0,2025-11-24,stop_loss,-2.458,6
2025-11-18,ema_pullback,DONEAR,99.62,99.62000274658205,99.97,103.6,97.0,0.22,53.31,,,stale_entry,,
2025-11-18,ema_pullback,ECLERX,2225.95,2225.949951171875,2247.32,2314.99,2180.57,0.18,51.23,2229.5,2025-12-01,target_hit,3.8345,13
2025-11-18,ema_pullback,GAIL,178.74,178.7386932373047,178.12,185.89,173.38,0.74,58.17,,,stale_entry,,
2025-11-18,ema_pullback,GENUSPOWER,346.1,346.1000061035156,335.9,359.94,335.72,0.4,59.44,,,stale_entry,,
2025-11-18,ema_pullback,GMMPFAUDLR,1238.0,1238.0,1230.72,1287.52,1200.86,0.62,56.93,1230.72,2025-11-21,stop_loss,-2.4262,3
2025-11-18,ema_pullback,GRANULES,561.45,561.4500122070312,562.02,583.91,545.33,0.86,53.62,561.45,2025-11-21,stop_loss,-2.8711,3
2025-11-18,ema_pullback,GRAPHITE,596.4,596.4000244140625,584.54,620.26,578.51,1.83,56.69,,,stale_entry,,
2025-11-18,ema_pullback,GROBTEA,1067.2,1067.199951171875,1076.11,1109.89,1044.15,0.11,51.04,1068.0,2025-11-20,target_hit,3.9223,2
2025-11-18,ema_pullback,HAL,4768.28,4768.283203125,4761.31,4959.01,4625.23,0.96,54.82,,,stale_entry,,
2025-11-18,ema_pullback,HDFCBANK,992.45,992.4500122070312,999.69,1032.15,970.0,1.03,53.27,992.45,2025-12-03,timeout,0.8111,15
2025-11-18,ema_pullback,ICICIGI,2025.8,2025.800048828125,2022.98,2106.83,1965.03,1.35,56.07,,,stale_entry,,
2025-11-18,ema_pullback,IDBI,102.52,102.5199966430664,99.8,106.62,99.44,1.26,60.53,,,stale_entry,,
2025-11-18,ema_pullback,INDIACEM,411.3,411.2999877929688,397.25,427.75,398.96,0.95,57.66,,,stale_entry,,
2025-11-18,ema_pullback,INDIAMART,2446.2,2446.199951171875,2463.51,2544.05,2390.34,2.16,51.1,2446.2,2025-11-20,stop_loss,-2.2835,2
