signal_date,strategy,ticker,cmp,entry_min,entry_max,target,stop_loss,volume_ratio,rsi,fill_price,exit_date,exit_reason,pnl_pct,holding_days
2025-11-18,fib_pullback,HINDWAREAP,353.05,353.04998779296875,354.82,384.82,342.46,0.51,47.73,,,not_filled,,
2025-11-18,fib_pullback,HITECHGEAR,760.0,760.0,763.8,828.4,737.2,0.38,48.0,760.0,2025-11-20,stop_loss,-3.0,2
2025-11-18,fib_pullback,INFOMEDIA,7.28,7.28000020980835,7.32,7.94,7.06,4.22,49.16,,,stale_entry,,
2025-11-18,fib_pullback,NAM-INDIA,862.25,862.25,866.56,939.86,836.38,0.35,47.45,862.25,2025-12-02,stop_loss,-3.0003,14
2025-11-18,fib_pullback,SANGINITA,10.68,10.68000030517578,10.73,11.64,10.36,0.37,52.9,10.68,2025-11-20,stop_loss,-2.9963,2
2025-11-18,fib_pullback,UCOBANK,31.55,31.549999237060547,31.71,34.4,30.6,0.62,49.64,31.55,2025-11-24,stop_loss,-3.0111,6
2025-11-19,fib_pullback,ABINFRA,19.25,19.25,19.35,20.99,18.67,4.94,48.09,19.3,2025-11-25,stop_loss,-3.2642,6
2025-11-19,fib_pullback,CRAFTSMAN,6776.5,6776.5,6810.38,7386.4,6573.2,0.3,51.05,6776.5,2025-11-24,stop_loss,-3.0001,5
2025-11-19,fib_pullback,KRISHNADEF,803.8,803.7999877929688,807.82,876.13,779.69,1.33,51.01,807.8,2025-11-24,stop_loss,-3.4798,5
2025-11-19,fib_pullback,NAM-INDIA,883.1,883.0999755859375,887.52,962.57,856.61,0.44,52.96,884.9,2025-11-24,stop_loss,-3.197,5
2025-11-19,fib_pullback,RRKABEL,1360.8,1360.800048828125,1367.6,1483.26,1319.98,0.18,53.46,,,stale_entry,,
2025-11-19,fib_pullback,SHEMAROO,114.12,114.12000274658205,114.69,124.38,110.7,0.41,54.15,,,stale_entry,,
2025-11-19,fib_pullback,SUBEXLTD,13.09,13.09000015258789,13.16,14.26,12.7,1.29,52.21,13.09,2025-11-21,stop_loss,-2.9794,2
2025-11-19,fib_pullback,VINEETLAB,41.74,41.7400016784668,41.95,45.49,40.49,0.61,45.18,41.74,2025-11-24,stop_loss,-2.9947,5
2025-11-20,fib_pullback,AMBICAAGAR,26.02,26.020000457763672,26.15,28.36,25.24,0.82,51.62,,,not_filled,,
2025-11-20,fib_pullback,ASTRAL,1462.4,1462.4000244140625,1469.71,1594.01,1418.53,0.37,47.0,1462.4,2025-12-02,stop_loss,-2.9999,12
2025-11-20,fib_pullback,VINEETLAB,42.12,42.119998931884766,42.33,45.9,40.86,0.4,46.76,42.31,2025-11-24,stop_loss,-3.4271,4
2025-11-21,fib_pullback,BLBLIMITED,16.25,16.25,16.33,17.72,15.76,0.55,47.85,,,stale_entry,,
2025-11-21,fib_pullback,CALSOFT,17.14,17.139999389648438,17.23,18.07,16.83,0.49,50.64,,,stale_entry,,
