signal_date,strategy,ticker,cmp,entry_min,entry_max,target,stop_loss,volume_ratio,rsi,fill_price,exit_date,exit_reason,pnl_pct,holding_days
2025-11-18,breakout,INDIGRID,163.89,165.42452164749474,168.73,173.7,161.29,2.05,52.8,,,not_filled,,
2025-11-18,breakout,PIDILITIND,1491.0,1496.300048828125,1526.23,1571.12,1458.89,1.88,51.96,1496.3,2025-11-24,stop_loss,-2.5002,6
2025-11-19,breakout,BANARISUG,3672.3,3699.0,3772.98,3883.95,3606.53,1.89,65.27,,,not_filled,,
2025-11-19,breakout,INDIGRID,163.85,165.42452164749474,168.73,173.7,161.29,2.8,52.74,,,not_filled,,
2025-11-19,breakout,WIPRO,239.88,240.1011756715635,244.9,252.11,234.1,1.68,54.82,241.271,2025-12-04,target_hit,4.4925,15
2025-11-21,breakout,INDIGRID,164.27,165.42452164749474,168.73,173.7,161.29,1.64,53.28,,,not_filled,,
2025-11-21,breakout,MARUTI,15977.0,15999.0,16318.98,16798.95,15599.02,1.62,54.6,16005.0,2025-12-08,timeout,1.1371,17
2025-11-21,breakout,TATACONSUM,1183.1,1187.800048828125,1211.56,1247.19,1158.11,2.05,57.22,1188.5,2025-11-26,stop_loss,-2.557,5
2025-11-24,breakout,HDFCBANK,999.15,1011.5999755859376,1031.83,1062.18,986.31,1.73,55.55,,,not_filled,,
2025-11-24,breakout,NESTLEIND,1262.38,1282.3763066454585,1308.02,1346.5,1250.32,3.06,55.05,,,not_filled,,
2025-11-24,breakout,TATACONSUM,1186.0,1187.0,1210.74,1246.35,1157.33,2.87,57.98,1188.0,2025-11-26,stop_loss,-2.5816,2
2025-11-24,breakout,WIPRO,241.05,241.56342952924817,246.39,253.64,235.52,2.58,56.27,241.7584,2025-12-05,target_hit,4.9147,11
2025-11-25,breakout,GODREJCP,1139.55,1157.369251997332,1180.52,1215.24,1128.44,1.59,52.39,1157.3693,2025-12-01,stop_loss,-2.4996,6
2025-11-26,breakout,ADANIPORTS,1506.2,1523.5999755859375,1554.07,1599.78,1485.51,1.89,62.12,,,not_filled,,
2025-11-26,breakout,INDIGRID,164.31,165.42452164749474,168.73,173.7,161.29,1.76,53.27,,,not_filled,,
2025-11-26,breakout,JOCIL,152.48,153.9499969482422,157.03,161.65,150.1,4.41,53.95,153.95,2025-12-08,stop_loss,-2.5008,12
2025-11-27,breakout,BAJAJ-AUTO,9022.5,9180.0,9363.6,9639.0,8950.5,1.59,54.11,,,not_filled,,
2025-11-27,breakout,BANARISUG,3644.9,3701.0,3775.02,3886.05,3608.47,1.8,58.61,,,not_filled,,
2025-12-01,breakout,ADANIPORTS,1530.5,1534.300048828125,1564.99,1611.02,1495.94,1.9,67.82,,,not_filled,,
2025-12-02,breakout,HINDUNILVR,2477.8,2488.0,2537.76,2612.4,2425.8,1.52,56.68,,,not_filled,,
2025-12-02,breakout,PNB,125.35,126.37999725341795,128.91,132.7,123.22,1.87,62.44,,,not_filled,,
2025-12-02,breakout,SHREDIGCEM,90.34,90.9800033569336,92.8,95.53,88.71,3.97,53.0,,,not_filled,,
2025-12-03,breakout,INDUSTOWER,404.65,409.7999877929688,418.0,430.29,399.55,1.93,60.3,,,not_filled,,
2025-12-04,breakout,CANTABIL,253.45,255.517311912538,260.63,268.29,249.13,2.37,53.44,255.5173,2025-12-08,target_hit,4.9988,4
2025-12-04,breakout,HAPPSTMNDS,511.05,513.5,523.77,539.18,500.66,4.98,55.46,514.05,2025-12-08,stop_loss,-2.6048,4
2025-12-04,breakout,HCLTECH,1642.7,1656.400744077912,1689.53,1739.22,1614.99,1.52,66.47,1656.4007,2025-12-19,timeout,-1.5584,15
2025-12-04,breakout,HINDUNILVR,2462.2,2488.0,2537.76,2612.4,2425.8,1.61,52.24,,,not_filled,,
2025-12-04,breakout,YESBANK,22.76,23.190000534057617,23.65,24.35,22.61,1.65,52.1,,,not_filled,,
2025-12-08,breakout,ICICIPRULI,616.25,627.9500122070312,640.51,659.35,612.25,1.78,50.6,627.95,2025-12-23,timeout,3.6548,15
2025-12-09,breakout,BECTORFOOD,259.27,262.0020385890205,267.24,275.1,255.45,1.51,50.57,262.002,2025-12-12,target_hit,4.9992,3
2025-12-11,breakout,BIRET,328.33,331.02236461070555,337.64,347.57,322.75,3.04,50.58,331.0224,2025-12-15,stop_loss,-2.499,4
2025-12-12,breakout,IRBINVIT,59.53,59.93763545431752,61.14,62.93,58.44,1.9,52.93,,,not_filled,,
2025-12-12,breakout,LT,4074.1,4104.2001953125,4186.28,4309.41,4001.6,1.57,61.47,,,not_filled,,
2025-12-12,breakout,SYNGENE,647.0,652.0999755859375,665.14,684.7,635.8,1.95,53.92,652.1,2025-12-29,timeout,0.5291,17
2025-12-15,breakout,IRBINVIT,59.77,59.986440828341486,61.19,62.99,58.49,1.5,56.26,,,not_filled,,
2025-12-16,breakout,LT,4063.8,4114.0,4196.28,4319.7,4011.15,1.56,58.52,,,not_filled,,
2025-12-17,breakout,APLAPOLLO,1764.5,1781.300048828125,1816.93,1870.37,1736.77,1.58,55.88,1781.3,2025-12-22,target_hit,5.0003,5
2025-12-18,breakout,SHREDIGCEM,90.17,90.9499969482422,92.77,95.5,88.68,1.92,51.25,,,not_filled,,
2025-12-19,breakout,DIVISLAB,6478.5,6519.0,6649.38,6844.95,6356.02,3.9,54.31,6519.0,2025-12-30,stop_loss,-2.5001,11
2025-12-19,breakout,INDIGRID,164.78,165.23907399477588,168.54,173.5,161.11,2.42,54.31,,,not_filled,,
2025-12-22,breakout,GRASIM,2809.7,2849.89990234375,2906.9,2992.39,2778.65,1.67,56.84,,,not_filled,,
2025-12-22,breakout,INDIGRID,164.32,165.141475521823,168.44,173.4,161.01,6.48,52.12,,,not_filled,,
2025-12-23,breakout,IRCTC,677.06,679.5979298945077,693.19,713.58,662.61,2.92,50.27,679.5979,2026-01-07,timeout,-1.5511,15
2025-12-23,breakout,JAGRAN,71.16,71.2300033569336,72.65,74.79,69.45,1.8,61.11,71.23,2026-01-07,timeout,-0.351,15
2025-12-23,breakout,JBCHEPHARM,1792.68,1814.338694715676,1850.63,1905.06,1768.98,2.18,56.41,,,not_filled,,
2025-12-24,breakout,INSECTICID,712.98,715.4692683429721,729.78,751.24,697.58,2.46,55.33,,,not_filled,,
2025-12-24,breakout,MUTHOOTFIN,3804.7,3868.0,3945.36,4061.4,3771.3,1.79,60.5,,,not_filled,,
2025-12-24,breakout,VENTIVE,719.5,720.9500122070312,735.37,757.0,702.93,5.58,51.32,727.0,2025-12-31,target_hit,4.1265,7
2025-12-26,breakout,RMDRIP,79.78,80.29000091552734,81.9,84.3,78.28,4.58,53.89,80.75,2026-01-01,target_hit,4.3963,6
2025-12-29,breakout,NTPC,323.06,324.202340583696,330.69,340.41,316.1,2.07,53.39,,,not_filled,,
